time,price,bedrooms,bathrooms,sqft_living,beds,baths,sqft,location,Location,Sqft,Bedrooms,Price
2026-05-19 21:05:20.484151,161772.05,0.0,,,,,,,,,,
2026-05-19 21:06:28.487692,1133348.9,1.0,,,,,,,,,,
2026-05-20 20:05:24.186968,1002187.375,1.0,2.0,800.0,,,,,,,,
,161772.046875,0.0,0.0,0.0,,,,,,,,
,161772.046875,,,,0.0,0.0,0.0,,,,,
,142911.21875,,,,0.0,0.0,0.0,,,,,
,143329.53125,,,,0.0,0.0,0.0,,,,,
,143329.53125,,,,0.0,0.0,0.0,,,,,
,143329.53125,,,,0.0,0.0,0.0,,,,,
,161772.046875,,,,0.0,,0.0,,,,,
,651015.0625,,,,3.0,,900.0,,,,,
,627740.4375,,,,3.0,,900.0,,,,,
,627740.4375,,,,3.0,,900.0,,,,,
,161772.046875,,,,0.0,,0.0,,,,,
,601184.625,,,,1.0,,800.0,Chennai,,,,
,601184.625,,,,1.0,,800.0,Delhi,,,,
,601184.625,,,,1.0,,800.0,Nellore,,,,
,1019396.375,,,,1.0,,800.0,Vayalpad,,,,
,,,,,,,,,Bangalore,800.0,2.0,657194.0625
,,,,,,,,,Bangalore,800.0,3.0,657749.5625
,,,,,,,,,Bangalore,800.0,3.0,657749.5625
,,,,,,,,,Bangalore,800.0,3.0,657749.5625
,,,,,,,,,Bangalore,800.0,3.0,657749.5625
,,,,,,,,,Bangalore,800.0,3.0,657749.5625
,,,,,,,,,Madanapalle,800.0,2.0,536155.625
,,,,,,,,,Madanapalle,800.0,2.0,536155.625
